timestamp,PKW,LKW,Buses,Total
2023-01-24 15:00:00,243,645,452,515
2023-01-24 16:00:00,254,718,549,529
2023-01-24 17:00:00,308,736,564,546
2023-01-24 18:00:00,302,621,447,523
2023-01-24 19:00:00,283,458,251,454
2023-01-24 20:00:00,128,387,172,437
2023-01-24 21:00:00,96,294,96,353
2023-01-24 22:00:00,34,245,85,323
2023-01-24 23:00:00,25,197,40,277
2023-01-25 00:00:00,25,209,64,243
2023-01-25 01:00:00,23,119,21,253
2023-01-25 02:00:00,27,86,6,277
2023-01-25 03:00:00,41,68,11,319
2023-01-25 04:00:00,45,72,8,305
2023-01-25 05:00:00,57,92,12,381
2023-01-25 06:00:00,133,197,48,452
2023-01-25 07:00:00,309,379,158,564
2023-01-25 08:00:00,373,528,293,621
2023-01-25 09:00:00,376,733,553,614
2023-01-25 10:00:00,318,714,500,592
2023-01-25 11:00:00,266,726,562,541
2023-01-25 12:00:00,263,281,392,582
2023-01-25 13:00:00,320,250,366,616
2023-01-25 14:00:00,338,684,923,535
2023-01-25 15:00:00,402,803,632,599
2023-01-25 16:00:00,393,747,514,589
2023-01-25 17:00:00,412,713,485,557
2023-01-25 18:00:00,404,606,401,575
2023-01-25 19:00:00,251,463,235,545
2023-01-25 20:00:00,167,344,153,508
2023-01-25 21:00:00,117,268,87,402
2023-01-25 22:00:00,49,200,43,334
2023-01-25 23:00:00,41,193,42,302
2023-01-26 00:00:00,21,110,16,279
2023-01-26 01:00:00,23,94,5,255
2023-01-26 02:00:00,27,66,5,282
2023-01-26 03:00:00,67,67,2,315
2023-01-26 04:00:00,50,70,5,354
2023-01-26 05:00:00,99,110,18,418
2023-01-26 06:00:00,200,173,26,517
2023-01-26 07:00:00,381,336,119,621
2023-01-26 08:00:00,446,465,238,630
2023-01-26 09:00:00,390,575,273,589
2023-01-26 10:00:00,386,567,316,584
2023-01-26 11:00:00,771,642,323,254
2023-01-26 12:00:00,878,643,355,225
2023-01-26 13:00:00,242,634,307,753
2023-01-26 14:00:00,395,654,355,701
2023-01-26 15:00:00,528,706,496,634
2023-01-26 16:00:00,468,735,459,589
2023-01-26 17:00:00,472,751,475,562
2023-01-26 18:00:00,676,656,419,630
2023-01-26 19:00:00,431,502,249,581
2023-01-26 20:00:00,379,330,127,510
2023-01-26 21:00:00,233,270,81,468
2023-01-26 22:00:00,111,210,39,405
2023-01-26 23:00:00,76,96,15,368
2023-01-27 00:00:00,42,155,27,297
2023-01-27 01:00:00,37,82,6,300
2023-01-27 02:00:00,44,66,6,299
2023-01-27 03:00:00,58,62,3,356
2023-01-27 04:00:00,59,63,10,379
2023-01-27 05:00:00,142,78,14,474
2023-01-27 06:00:00,259,148,16,564
2023-01-27 07:00:00,334,258,78,634
2023-01-27 08:00:00,396,377,133,651
2023-01-27 09:00:00,317,488,182,603
2023-01-27 10:00:00,312,580,255,544
2023-01-27 11:00:00,340,666,320,541
2023-01-27 12:00:00,438,758,418,615
2023-01-27 13:00:00,737,873,487,641
2023-01-27 14:00:00,982,894,553,689
2023-01-27 15:00:00,761,880,604,615
2023-01-27 16:00:00,763,898,558,592
2023-01-27 17:00:00,836,822,494,606
2023-01-27 18:00:00,831,719,339,595
2023-01-27 19:00:00,624,527,247,563
2023-01-27 20:00:00,533,443,182,552
2023-01-27 21:00:00,289,296,85,508
2023-01-27 22:00:00,204,211,50,436
2023-01-27 23:00:00,149,181,29,417
2023-01-28 00:00:00,75,136,39,364
2023-01-28 01:00:00,56,97,13,348
2023-01-28 02:00:00,55,80,10,318
2023-01-28 03:00:00,65,57,7,354
2023-01-28 04:00:00,65,44,5,378
2023-01-28 05:00:00,98,65,3,386
2023-01-28 06:00:00,96,104,7,406
2023-01-28 07:00:00,115,178,31,443
2023-01-28 08:00:00,177,288,66,489
2023-01-28 09:00:00,204,461,135,508
2023-01-28 10:00:00,424,604,255,551
2023-01-28 11:00:00,371,710,401,563
2023-01-28 12:00:00,422,816,464,576
2023-01-28 13:00:00,282,712,345,578
2023-01-28 14:00:00,281,697,337,593
2023-01-28 15:00:00,201,653,276,561
2023-01-28 16:00:00,123,587,245,505
2023-01-28 17:00:00,99,547,204,489
2023-01-28 18:00:00,138,557,249,445
2023-01-28 19:00:00,88,446,153,446
2023-01-28 20:00:00,53,402,142,384
2023-01-28 21:00:00,24,280,79,340
2023-01-28 22:00:00,17,235,54,290
2023-01-28 23:00:00,11,158,22,251
2023-01-29 00:00:00,5,139,21,216
2023-01-29 01:00:00,4,87,8,175
2023-01-29 02:00:00,2,62,3,145
2023-01-29 03:00:00,1,49,3,114
2023-01-29 04:00:00,1,49,2,106
2023-01-29 05:00:00,0,29,1,95
2023-01-29 06:00:00,2,42,1,121
2023-01-29 07:00:00,0,58,3,116
2023-01-29 08:00:00,2,100,6,186
2023-01-29 09:00:00,4,169,19,294
2023-01-29 10:00:00,14,390,79,418
2023-01-29 11:00:00,31,657,263,513
